PolarDiagramMultiSails
TWS:
6,8,10,12,14,16,20
Sail 1
TWA:
52,60,75,90,110,120,135,150
Boat speeds:
3.74,4.48,4.96,5.27,5.47,5.66,5.81
3.98,4.73,5.18,5.44,5.67,5.94,6.17
4.16,4.93,5.35,5.66,5.95,6.27,6.86
4.35,5.19,5.64,6.09,6.49,6.7,7.35
4.39,5.22,5.68,6.19,6.79,7.48,8.76
4.23,5.11,5.58,6.06,6.62,7.32,9.74
3.72,4.64,5.33,5.74,6.22,6.77,8.34
3.21,4.1,4.87,5.4,5.78,6.22,7.32
Sail 2
TWA:
52,60,75,90,110,120,135,150
Boat speeds:
3.74,4.48,4.96,5.27,5.47,5.66,5.81
3.98,4.73,5.18,5.44,5.67,5.94,6.17
4.16,4.93,5.35,5.66,5.95,6.27,6.86
4.35,5.19,5.64,6.09,6.49,6.7,7.35
4.39,5.22,5.68,6.19,6.79,7.48,8.76
4.23,5.11,5.58,6.06,6.62,7.32,9.74
3.72,4.64,5.33,5.74,6.22,6.77,8.34
3.21,4.1,4.87,5.4,5.78,6.22,7.32
